"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
1243,"Historic sundrenched apt of the Lower East Side",2712998,"Greg","Manhattan","Lower East Side",40.71788,-73.98975,"Entire home/apt",1,45,"6/8/2019",0.62,1,111
1244,"Bohemian Bushwick Loft",2569188,"Ana","Brooklyn","Bushwick",40.70021,-73.94081,"Private room",1,2,"12/26/2015",0.05,1,0
1245,"Sweet Astoria Home",129936757,"Vivian","Queens","Ditmars Steinway",40.77377,-73.89837,"Private room",1,0,NA,NA,1,343
1246,"Sunny 2 Bedroom Park Slope Sanctuary",10653881,"Max And Heather","Brooklyn","Park Slope",40.67059,-73.98621,"Entire home/apt",2,2,"11/20/2017",0.1,2,0
1247,"Home in NYC 1 BR Apartment Midtown Retreat",2239610,"Tanya","Manhattan","Hell's Kitchen",40.756,-73.99804,"Entire home/apt",5,10,"7/6/2019",1.47,1,31
1248,"Luxurious 2 BR - Gramercy",61391963,"Corporate Housing","Manhattan","Kips Bay",40.74168,-73.9804,"Entire home/apt",30,8,"3/25/2019",0.37,91,190
1249,"Very large, clean 1 BR apartment",4076876,"Tauheed","Manhattan","East Harlem",40.80343,-73.93514,"Entire home/apt",3,22,"7/2/2019",0.31,1,365
1250,"Heart of Williamsubrg 1 Bedroom",4487224,"Tara","Brooklyn","Williamsburg",40.71373,-73.94958,"Entire home/apt",3,31,"9/27/2015",0.4,1,365
1251,"Charming Private Room",208634617,"Anne& Peter","Brooklyn","Bedford-Stuyvesant",40.69339,-73.93971,"Private room",2,41,"6/16/2019",3.73,3,358
1252,"Priv. Room in Bushwick near L Train",54081802,"Urs","Queens","Ridgewood",40.70017,-73.91014,"Private room",1,0,NA,NA,1,0
1253,"Beautiful place in historic Bed Stuy neighborhood",3478341,"Mark","Brooklyn","Bedford-Stuyvesant",40.68352,-73.92557,"Entire home/apt",2,21,"6/19/2019",1.31,1,26
1254,"1 bedroom in lovely 2 bdr apartment (Manhattan)",73195328,"Uta","Manhattan","Harlem",40.8299,-73.94361,"Private room",7,2,"6/26/2019",1.71,1,30
1255,"Beautiful 2 BR apt, UWS",264810896,"Christine","Manhattan","Upper West Side",40.7715,-73.9877,"Entire home/apt",3,0,NA,NA,1,58
1256,"Private Comfortable Room near Subway",164648188,"Sonia","Brooklyn","East New York",40.67595,-73.87964,"Private room",3,0,NA,NA,2,23
1257,"The Cozy Corner in BedStuy",223817242,"Carla","Brooklyn","Bedford-Stuyvesant",40.68774,-73.93699,"Entire home/apt",1,36,"6/23/2019",4.62,1,334
1258,"LES 2 BR Penthouse New Construction",87585422,"Dan","Manhattan","Lower East Side",40.72081,-73.98461,"Entire home/apt",4,8,"5/18/2019",0.64,1,164
1259,"Stunning Studio Loft in West Chelsea Brownstone",25720293,"Lena","Manhattan","Chelsea",40.7462,-74.00222,"Entire home/apt",4,24,"6/29/2019",1,3,264
1260,"Comfy Futon- 20mins Times Sq.",9235481,"Reynaldo","Manhattan","Washington Heights",40.8538,-73.93197,"Shared room",2,2,"12/5/2016",0.04,2,0
1261,"Cozy East Village Apartment",228235742,"Amber","Manhattan","East Village",40.72412,-73.98891,"Private room",1,0,NA,NA,1,0
1262,"The heart of Brooklyn",158461160,"Sophia","Brooklyn","Bedford-Stuyvesant",40.68094,-73.9462,"Entire home/apt",30,4,"5/15/2019",0.26,6,220
1263,"1 bedroom apartment in super central location",36757798,"Nicky","Manhattan","West Village",40.73176,-74.00348,"Entire home/apt",6,8,"1/2/2019",0.41,1,0
1264,"CentralPark/ Upper west /Columbia University",206758177,"Miguel","Manhattan","Upper West Side",40.80007,-73.95981,"Entire home/apt",1,27,"7/5/2019",6.69,3,51
1265,"Pvt 1 full bed 10 min from JFK, close to Manhattan",23370431,"Melissa","Queens","Hollis",40.71694,-73.75656,"Private room",2,16,"6/19/2019",1.71,2,178
1266,"Newly renovated apartment in Bensonhurst, Brooklyn",239360406,"Lili","Brooklyn","Bensonhurst",40.61487,-74.00666,"Private room",1,15,"5/27/2019",3.02,1,0
1267,"Private Room in Artsy Lower Manhattan Apartment",1516947,"Mil","Manhattan","Civic Center",40.71287,-73.99811,"Private room",17,17,"3/31/2019",0.48,1,38
1268,"room in 3-bedroom house , Central Brooklyn",144107218,"Israel","Brooklyn","East Flatbush",40.65823,-73.93459,"Private room",1,0,NA,NA,1,316
1269,"Sean",35143476,"Sean","Brooklyn","Windsor Terrace",40.65182,-73.98043,"Entire home/apt",7,0,NA,NA,1,0
1270,"Nice Studio in Hell's kitchen",37440412,"Rebecca","Manhattan","Hell's Kitchen",40.76016,-73.98929,"Entire home/apt",4,5,"6/12/2016",0.11,1,0
1271,"Large, Bright Midtown East 1 BR in Luxury building by Blueground",107434423,"Blueground","Manhattan","Kips Bay",40.74112,-73.98009,"Entire home/apt",30,0,NA,NA,232,326
1272,"Large Bedroom near Manhattan",150572903,"Dimitri","Staten Island","St. George",40.64123,-74.08169,"Private room",2,0,NA,NA,2,356
1273,"Cozy West Village Studio",11699846,"Natasha","Manhattan","Greenwich Village",40.73239,-73.9996,"Entire home/apt",2,15,"10/28/2018",0.57,1,0
1274,"Cozy Lower East Side 1-Bedroom",4950822,"Matthew","Manhattan","Lower East Side",40.71952,-73.98495,"Entire home/apt",2,0,NA,NA,1,0
1275,"Midtown East Apt",4075128,"Chang","Manhattan","Murray Hill",40.74822,-73.97966,"Private room",2,2,"5/20/2017",0.08,1,0
1276,"Celebrity Home 15 mins to jfk & lga",213816392,"DuChess","Queens","Queens Village",40.70762,-73.74366,"Private room",1,38,"7/6/2019",3.99,3,163
1277,"Prime West Village One Bedroom",6432439,"Annie","Manhattan","West Village",40.73477,-74.00246,"Entire home/apt",3,0,NA,NA,1,107
1278,"Private Room in Beautiful Brooklyn Private House.",40532977,"Johari","Brooklyn","Bedford-Stuyvesant",40.68128,-73.91196,"Private room",60,13,"5/1/2019",0.42,4,51
1279,"Alexander",224711439,"S Xander","Manhattan","Inwood",40.86414,-73.92537,"Private room",3,1,"12/29/2018",0.16,1,0
1280,".ROOM, NearTrain, JFK5minLGA15min. Breakfast,2Peop",71176935,"George","Queens","Richmond Hill",40.69015,-73.8297,"Private room",1,20,"2/15/2019",0.77,1,86
1281,"Large, Sunny Studio in the heart of Chelsea.",31175385,"Eunice","Manhattan","Chelsea",40.74089,-74.00002,"Entire home/apt",2,4,"1/1/2019",0.13,1,0
1282,"Gorgeous  room available in  Trendy Bushwick BK",159608581,"Heather","Brooklyn","Bushwick",40.6879,-73.91183,"Private room",2,1,"7/27/2018",0.09,1,0
1283,"Cozy room in the heart of Astoria",40503875,"Hebert","Queens","Astoria",40.75927,-73.9092,"Private room",1,94,"4/16/2019",2.91,2,0
1284,"Entire Apartment-Brooklyn heights",12901128,"Yasmin","Brooklyn","Brooklyn Heights",40.69927,-73.994,"Private room",1,0,NA,NA,1,0
1285,"Cozy Upper East - 1 Bed
Park | Museums | Subway",25700836,"Brenton","Manhattan","Upper East Side",40.77979,-73.95297,"Entire home/apt",1,11,"11/26/2018",0.96,1,30
1286,"Manhattan Sky Crib (1 year sublet)",3260084,"David","Manhattan","Chelsea",40.75164,-73.99425,"Entire home/apt",365,0,NA,NA,1,365
1287,"Bushwick Apartment  // L Train",190828985,"Francis","Brooklyn","Williamsburg",40.70361,-73.942,"Entire home/apt",2,5,"11/22/2018",0.4,2,0
1288,"Flushing Spacious Room w/ 2 Queen Beds",65809485,"Shirley","Queens","Flushing",40.74954,-73.82829,"Private room",5,62,"6/18/2019",1.64,12,174
1289,"Modern spacious apt in Park Slope",2587680,"Susan","Brooklyn","Park Slope",40.67156,-73.98366,"Entire home/apt",4,7,"6/16/2019",0.46,1,37
1290,"Astoria flat 5 minutes to subway 10 mins to NYC",158048302,"Marilyn","Queens","Ditmars Steinway",40.77416,-73.90755,"Entire home/apt",5,13,"6/22/2019",0.68,1,365
1291,"1 Bedroom in 2 Bdrm Apt- Upper East",236421,"Jessica","Manhattan","Upper East Side",40.77333,-73.95199,"Private room",14,0,NA,NA,2,0
1292,"Jewel Street Apartment 2 Bedroom",28071452,"Douglas","Brooklyn","Greenpoint",40.72744,-73.94673,"Entire home/apt",3,12,"6/25/2019",1.71,1,112
1293,"Cozy Antique Haven in Brooklyn",8619668,"Linda","Brooklyn","Crown Heights",40.66663,-73.93455,"Private room",3,2,"10/13/2018",0.21,1,50
1294,"Room and Breakfast  -  Room 1",35322092,"Rhemy","Brooklyn","Bedford-Stuyvesant",40.68523,-73.92926,"Private room",1,136,"7/7/2019",3.05,3,200
1295,"2 bedroom on the Brighton Beach by  the ocean",73397630,"Anastasia","Brooklyn","Brighton Beach",40.57859,-73.95962,"Entire home/apt",2,1,"4/29/2019",0.42,1,102
1296,"Room in Loft",7234603,"Frida","Brooklyn","Williamsburg",40.70953,-73.92657,"Private room",1,0,NA,NA,1,0
1297,"SweetSpot in Upper Manhattan",85006429,"Pedro","Manhattan","Harlem",40.82446,-73.94318,"Private room",1,64,"7/1/2019",1.81,1,322
1298,"Safe upper-class area,20 min to Manhattan/Airports",15838559,"Weimin","Queens","Forest Hills",40.71429,-73.85088,"Private room",3,15,"8/4/2018",0.41,4,0
1299,"East 12th street, Lux Studio in Greenwich Village",22541573,"Ken","Manhattan","East Village",40.73373,-73.98962,"Entire home/apt",30,0,NA,NA,87,347
1300,"Spacious Brooklyn Townhouse with Garden",21248,"Toto","Brooklyn","Sunset Park",40.65015,-74.01084,"Entire home/apt",2,1,"12/8/2017",0.05,1,0
1301,"Greenpoint room",5213686,"Charlotte","Brooklyn","Greenpoint",40.73442,-73.95854,"Private room",5,2,"8/9/2018",0.16,1,0
1302,"Sunny Brooklyn apt. Quick walk to Prospect Park",104051773,"Sophie","Brooklyn","East Flatbush",40.65215,-73.95219,"Entire home/apt",3,4,"1/2/2019",0.3,1,12
1303,"private room",26877037,"Catherine","Brooklyn","Sheepshead Bay",40.60059,-73.95899,"Private room",1,3,"10/14/2015",0.06,2,0
1304,"Private Heart-of-Williamsburg Bedroom!",6164507,"Adam","Brooklyn","Williamsburg",40.71199,-73.96317,"Private room",7,0,NA,NA,1,0
1305,"Entire home in East Village, 2BD, Family friendly",1515114,"Roman","Manhattan","East Village",40.72503,-73.97851,"Entire home/apt",10,4,"5/14/2019",0.53,1,16
1306,"Modem 2 bedroom in Times sq for 5ppl",4443863,"Lica","Manhattan","Hell's Kitchen",40.76419,-73.98949,"Entire home/apt",1,59,"6/29/2019",6.48,1,180
1307,"Luxury Building - Private Room",101550977,"Myko","Manhattan","Financial District",40.70602,-74.00891,"Private room",4,61,"5/29/2019",1.9,2,246
1308,"Classic Brooklyn Apartment",176245949,"Tone","Brooklyn","Red Hook",40.67656,-74.01656,"Entire home/apt",2,59,"7/3/2019",3.68,1,77
1309,"★Comfy Bedroom in Convenient, awesome location!★",51380878,"Jean Paul","Brooklyn","Flatbush",40.65068,-73.96073,"Private room",1,83,"6/16/2019",3.28,2,37
1310,"Gorgeous spacious renovated 1Bed in Hellskitchen!",42304005,"Dina","Manhattan","Theater District",40.75957,-73.98798,"Entire home/apt",2,18,"5/13/2019",0.97,1,72
1311,"Williamsburg Loft - Short or Long term Roommate",7988793,"Andres","Brooklyn","Williamsburg",40.71996,-73.95567,"Private room",30,1,"2/23/2017",0.03,1,0
1312,"Historic Harlem Brownstone -Perfect for Families!",20128515,"Ami","Manhattan","Harlem",40.82707,-73.94763,"Entire home/apt",4,26,"6/12/2019",1.21,1,128
1313,"Private bedroom in two bedroom APT",1535739,"Ron","Brooklyn","Williamsburg",40.70956,-73.95328,"Private room",31,3,"8/5/2018",0.06,1,0
1314,"Penthouse Apt w/private roofdeck, NO cleaning fee",12374283,"Ryan","Manhattan","East Village",40.72403,-73.97783,"Entire home/apt",2,1,"11/26/2017",0.05,4,0
1315,"1BR Spacious Luxury Apartment in Williamsburg BK",2369654,"Michael & Hanako","Brooklyn","Williamsburg",40.71778,-73.95503,"Entire home/apt",4,7,"4/16/2018",0.24,1,0
1316,"Spacious UES 1 bedroom apartment",8686625,"Marie","Manhattan","Upper East Side",40.78301,-73.95085,"Entire home/apt",1,166,"6/23/2019",3.3,1,210
1317,"Cozy Room 20 minutes away from the city",184641438,"Saly","Queens","Sunnyside",40.74132,-73.91931,"Private room",2,0,NA,NA,2,341
1318,"1 bedroom in Cozy 2 bedroom upper west side",23671946,"Yonatan","Manhattan","Harlem",40.81622,-73.95885,"Private room",3,0,NA,NA,2,0
1319,"Luxury Living 2 in Bumpin Bushwick",489448,"Tina","Brooklyn","Bushwick",40.69922,-73.92637,"Private room",5,8,"6/12/2019",2.09,2,100
1320,"Comfortable Simplistic, 8th Av walk to destination",186029613,"Jazmin","Manhattan","Harlem",40.82452,-73.94219,"Entire home/apt",2,23,"6/23/2019",1.64,1,0
1321,"Private room: One Cherry",25867795,"Vin","Brooklyn","Sunset Park",40.63957,-74.01717,"Private room",1,8,"7/1/2019",5.11,1,74
1322,"[203] 5 min WALK to Times Square",35524316,"Yasu & Akiko","Manhattan","Hell's Kitchen",40.7614,-73.98954,"Private room",1,179,"6/20/2019",3.66,11,243
1323,"2 beautiful rooms in sunlit Bushwick loft",2793254,"Johnny","Brooklyn","Bushwick",40.70408,-73.92045,"Private room",3,2,"5/27/2019",0.8,3,169
1324,"Large, Sunny West Village 1 Bedroom",26278289,"Erika","Manhattan","Greenwich Village",40.72862,-74.00054,"Entire home/apt",4,0,NA,NA,1,188
1325,"Huge factory loft, prime location",1215949,"Misty","Brooklyn","Williamsburg",40.71657,-73.96264,"Entire home/apt",2,179,"6/17/2019",2.2,1,0
1326,"Luxury studio w/doorman,gym,sauna,washer/dryer",19057986,"Dan","Brooklyn","Crown Heights",40.67794,-73.96023,"Entire home/apt",1,2,"5/5/2019",0.82,1,362
1327,"Bright spacious 1BR on the park",35634594,"Eden","Brooklyn","Prospect-Lefferts Gardens",40.66233,-73.9615,"Entire home/apt",7,1,"8/14/2015",0.02,1,0
1328,"Pool, Gym, Rooftop, East 50's1 bedroom /1 bathroom",9369977,"John","Manhattan","Midtown",40.75763,-73.96359,"Private room",7,4,"1/3/2018",0.09,1,0
1329,"Bright, Spacious West Village Getaway!",21450607,"Ana","Manhattan","West Village",40.7328,-74.00845,"Entire home/apt",2,1,"7/21/2017",0.04,1,0
1330,"Manhattan, Room w/3 Beds Near Metro & Central Park",154834587,"Joo","Manhattan","East Harlem",40.79428,-73.94433,"Private room",1,145,"6/22/2019",7.64,1,4
1331,"Master Bedroom w/Private bath Artsy Apt in Bushwik",2373120,"Elena","Brooklyn","Bushwick",40.70041,-73.92884,"Private room",5,2,"6/30/2019",0.94,2,323
1332,"Private Small Bedroom in Hell's Kitchen",131374030,"Steven","Manhattan","Hell's Kitchen",40.76387,-73.99117,"Private room",1,9,"12/28/2017",0.35,1,0
1333,"Spacious Room in Bushwick Brooklyn",26018110,"Vincent","Brooklyn","Williamsburg",40.70898,-73.93286,"Private room",25,0,NA,NA,1,0
1334,"Blueberries & Cream - Cozy 1 Bedroom Apt. #2",57186170,"Deirdre","Brooklyn","Bedford-Stuyvesant",40.68401,-73.9457,"Entire home/apt",2,100,"6/16/2019",3.27,3,308
1335,"Quiet room with private bath, gorgeous backyard",951909,"Alex","Brooklyn","Kensington",40.64501,-73.97859,"Private room",7,1,"6/1/2019",0.77,1,22
1336,"Charming Studio-Columbus Circle/Hell’s Kitchen",16809858,"Arman","Manhattan","Hell's Kitchen",40.76733,-73.98607,"Entire home/apt",10,6,"10/14/2018",0.17,1,280
1337,"Serene 1BR in Midtown East by Sonder",12243051,"Sonder","Manhattan","Murray Hill",40.74388,-73.97193,"Entire home/apt",29,1,"3/15/2019",0.26,96,347
1338,"Spacious Cozy Quite Private Room in Fidi w/ Perks",220139308,"Ellie","Manhattan","Financial District",40.70713,-74.01043,"Private room",1,13,"6/26/2019",4.15,1,132
1339,"Sunny 4 bedrooms in Manhattan",247185393,"Artem","Manhattan","East Harlem",40.79491,-73.94162,"Entire home/apt",3,7,"6/14/2019",2.33,1,307
1340,"Cozy room in Times Square .",95419310,"Felipe","Manhattan","Hell's Kitchen",40.76276,-73.98942,"Private room",2,105,"12/15/2018",3.09,1,0
1341,"Big bright room in fantastic location",10398617,"Nathan","Brooklyn","Williamsburg",40.7121,-73.95892,"Private room",2,19,"4/24/2019",0.6,1,19
1342,"Big bedroom with private bathroom!",50680795,"Sierra","Manhattan","Harlem",40.82976,-73.94663,"Private room",8,1,"1/2/2016",0.02,1,0
1343,"Private, cozy room, 20 min to Manhattan",22117154,"Dorota","Queens","Ridgewood",40.70009,-73.90505,"Private room",1,48,"7/7/2019",1.24,1,1
1344,"New 2 Bedrooms Apt Right in Times Square",1015345,"Tom","Manhattan","Theater District",40.76125,-73.98167,"Entire home/apt",3,4,"6/23/2019",2.5,1,3
1345,"Bright modern 2 bed 2 bath flat in Williamsburg",48240655,"Steve","Brooklyn","Williamsburg",40.71947,-73.96112,"Entire home/apt",2,11,"1/3/2018",0.45,1,0
1346,"Cute clean 1 rm",31546047,"Miyu","Manhattan","Hell's Kitchen",40.76553,-73.98879,"Private room",2,16,"7/1/2019",0.63,1,24
1347,"PERFECT LONG TERM RENTAL~1 BR- EAST 60TH STREET",200380610,"Pranjal","Manhattan","Upper East Side",40.75991,-73.96105,"Entire home/apt",30,0,NA,NA,65,364
1348,"Charming 1 bedroom in a 2 bedroom west village apt",23419046,"Rema","Manhattan","West Village",40.73433,-74.00301,"Private room",1,0,NA,NA,1,0
1349,"Large modern luxury 1 bdrm apt, beautiful rooftop!",40323007,"Joshua","Manhattan","East Village",40.72852,-73.97987,"Entire home/apt",2,40,"6/27/2019",3.18,1,119
1350,"Room near NYU, New School, Union Square, Chelsea",4915341,"Son","Manhattan","West Village",40.73691,-73.99715,"Private room",28,0,NA,NA,3,70
1351,"Upper West Side Studio Near All NYC",20670988,"Moran","Manhattan","Upper West Side",40.794,-73.97632,"Entire home/apt",5,16,"8/8/2017",0.34,1,0
1352,"Private Room w/ a 5 min walk to train!",105248014,"Kevin","Brooklyn","East Flatbush",40.64608,-73.94738,"Private room",1,71,"7/7/2019",8.99,2,35
1353,"BIG and Comfortable apt, by Park!",10338528,"Jared","Brooklyn","Flatbush",40.65411,-73.95816,"Private room",4,8,"12/26/2018",0.19,1,173
1354,"Beautiful Park Slope Apartment with outdoor space",99884541,"Phil","Brooklyn","South Slope",40.66052,-73.9811,"Private room",30,0,NA,NA,1,0
1355,"Cozy bedroom in Upper West Side",58254001,"Enrique","Manhattan","Upper West Side",40.80185,-73.96807,"Private room",3,17,"7/4/2019",0.51,1,129
1356,"Stay in a Private Room Close to Manhattan :)",8076496,"Agnes","Queens","Astoria",40.76982,-73.93501,"Private room",4,6,"6/6/2019",0.28,1,96
1357,"Huge Private Room near Central Park with KEY",243026919,"Kiara","Manhattan","East Harlem",40.80801,-73.94011,"Private room",1,14,"6/27/2019",6.27,2,0
1358,"Luxury Loft in Creative & Fun Apt",1720619,"Glace","Brooklyn","Williamsburg",40.71423,-73.95305,"Private room",4,160,"6/21/2019",1.92,1,23
1359,"Very Comfy Van",10407935,"Meng","Manhattan","West Village",40.73635,-74.00223,"Entire home/apt",1,0,NA,NA,8,72
1360,"CHARMING, QUIET ONE BEDROOM APT W/ BACK YARD",49101398,"Nicholas","Brooklyn","Gravesend",40.59592,-73.97523,"Entire home/apt",30,9,"6/2/2019",0.21,3,216
1361,"Clean, Modern, Rustic LIC APT",8616787,"Iris","Queens","Long Island City",40.75181,-73.93702,"Entire home/apt",2,1,"6/18/2019",1,1,9
1362,"Beautiful apartment in Elmhurst New York",129124146,"KImberly","Queens","Elmhurst",40.73334,-73.87198,"Shared room",1,4,"11/10/2018",0.42,3,179
1363,"Spacious Bedroom @ Convinience",80375387,"Ash","Queens","Astoria",40.75888,-73.91747,"Private room",1,3,"9/4/2018",0.2,1,179
1364,"Cheap, clean, 15 min. to Manhattan",6067526,"Matt","Queens","Jackson Heights",40.74852,-73.8889,"Private room",1,0,NA,NA,1,188
1365,"Eclectic, Comfortable, Quiet & Convenient on UWS",62641345,"Bob","Manhattan","Upper West Side",40.7975,-73.97161,"Entire home/apt",2,83,"6/30/2019",3.01,1,37
1366,"Greenpoint room",17452999,"Carlos","Brooklyn","Greenpoint",40.73616,-73.95511,"Private room",3,0,NA,NA,1,0
1367,"Private room overlooking backyard in Bushwick",24342773,"Chris","Brooklyn","Bushwick",40.70534,-73.92357,"Private room",1,1,"6/23/2019",1,1,188
1368,"Private room in Brooklyn",4368043,"Nika Nurkyz","Brooklyn","Sheepshead Bay",40.60738,-73.955,"Private room",3,0,NA,NA,1,0
1369,"The Art House",5942292,"@ Art House Monique","Brooklyn","Bedford-Stuyvesant",40.68244,-73.93908,"Entire home/apt",2,3,"12/2/2018",0.29,4,114
1370,"BEST SIDE OF BED-STUY",243875619,"David","Brooklyn","Bedford-Stuyvesant",40.68725,-73.94625,"Private room",1,20,"7/7/2019",5.04,2,242
1371,"Large Room in Bushwick Near Trains!",38029848,"Ramona","Brooklyn","Bedford-Stuyvesant",40.69649,-73.93645,"Private room",1,2,"11/7/2015",0.04,1,0
1372,"Luxury Harlem Apartment",6329693,"Nicole","Manhattan","East Harlem",40.80189,-73.94483,"Entire home/apt",3,3,"6/20/2019",0.21,1,128
1373,"Inexpensive apartment in exchange for cat-care",997124,"Alison","Brooklyn","Fort Greene",40.69309,-73.97074,"Private room",3,1,"5/13/2018",0.07,1,0
1374,"Stay in The Heart of NYC",28378670,"Jesse","Manhattan","Chelsea",40.7487,-73.99514,"Private room",2,134,"6/30/2019",3.42,1,66
1375,"Gorgeous 1BR brownstone in Harlem close to trains",8794266,"Patricia","Manhattan","Harlem",40.8065,-73.94941,"Entire home/apt",15,0,NA,NA,1,0
1376,"Modern 1BD Chelsea Apartment",18038832,"Crystal & John","Manhattan","Chelsea",40.74767,-73.99393,"Entire home/apt",1,29,"5/26/2019",0.49,1,0
1377,"Sweet-room",266983536,"Nawa","Bronx","Longwood",40.82794,-73.90412,"Private room",2,1,"6/24/2019",1,1,364
1378,"THIES IN HARLEM .",250969026,"Cheikh","Manhattan","Harlem",40.81323,-73.9422,"Entire home/apt",1,8,"6/23/2019",2.58,1,53
1379,"Big Bright 1BR Bed-Stuy Brownstone",8033291,"Julia","Brooklyn","Bedford-Stuyvesant",40.68394,-73.94678,"Entire home/apt",4,6,"6/20/2017",0.16,1,0
1380,"Entire downstairs 1.5 baths & private backyard",48823279,"Chris","Manhattan","East Harlem",40.79875,-73.93643,"Private room",3,2,"6/30/2019",0.32,1,238
1381,"Luxury 2BDR apt - 45 floor top view",8113248,"Francesco","Manhattan","Theater District",40.75935,-73.9875,"Entire home/apt",1,0,NA,NA,2,0
1382,"Calm Brownstone Charm in Clinton Hill",5402500,"Johanna","Brooklyn","Clinton Hill",40.68541,-73.96188,"Entire home/apt",12,27,"5/7/2019",1.19,1,13
1383,"Large Room available in Seaport.",4455698,"Pierre","Manhattan","Financial District",40.70867,-74.0003,"Private room",15,2,"4/16/2018",0.06,3,313
1384,"Lovely & Sunny 2 Bedroom Home",187487947,"Diego","Brooklyn","Greenpoint",40.73228,-73.95539,"Entire home/apt",1,63,"6/1/2019",4.51,6,0
1385,"Duplex penthouse with terrace, prime UES location",46876102,"Philippe","Manhattan","Upper East Side",40.7784,-73.9567,"Entire home/apt",45,0,NA,NA,1,83
1386,"NYC Apartment - Upper East Side True 1 Bedroom",46641887,"Zachary","Manhattan","Upper East Side",40.76831,-73.95629,"Private room",10,2,"10/30/2018",0.23,1,40
1387,"East Village Cottage",2010460,"Thaya","Manhattan","East Village",40.72544,-73.9899,"Private room",2,31,"6/30/2019",0.94,1,28
1388,"Studio in Little Italy",52031473,"Hanna","Manhattan","Nolita",40.72148,-73.99581,"Private room",2,44,"5/30/2019",1.03,1,35
1389,"Large Sunny Room in NYC",73881521,"Betty","Manhattan","Washington Heights",40.84616,-73.93855,"Private room",10,0,NA,NA,1,310
1390,"Sunny, Charming, Private One-Bedroom in Brooklyn",11068937,"Kara","Brooklyn","Clinton Hill",40.68325,-73.96487,"Entire home/apt",4,4,"5/21/2019",0.65,2,0
1391,"Beautiful 2-bed w private deck, steps from subway",7138847,"Chelsea","Brooklyn","Bedford-Stuyvesant",40.67904,-73.94191,"Entire home/apt",2,3,"7/9/2018",0.19,3,0
1392,"Roosevelt Island - Hidden Gem of New York",41655831,"Justin","Manhattan","Roosevelt Island",40.76506,-73.94662,"Private room",1,2,"7/21/2018",0.16,1,0
1393,"Quiet bedroom in sunny Park Slope Brooklyn apt",5140287,"Leah","Brooklyn","Park Slope",40.67574,-73.98028,"Private room",2,8,"5/6/2018",0.32,1,0
1394,"Private Room In Brooklyn,",113890236,"Nessim","Brooklyn","Bensonhurst",40.60997,-73.98022,"Private room",2,2,"7/2/2018",0.14,1,0
1395,"Cozy private bedroom in Manhattan",23847354,"Nicole","Manhattan","East Harlem",40.78882,-73.94869,"Private room",1,2,"2/7/2016",0.05,1,0
1396,"Luxury Apartment/ Wall Street",56656728,"Bret","Manhattan","Financial District",40.7112,-74.0094,"Entire home/apt",1,51,"7/6/2019",5.82,5,1
1397,"Lovely Aprt. 6 mins walk from Utica Av. Station",210427776,"Obinna","Brooklyn","Crown Heights",40.67708,-73.92944,"Private room",2,4,"1/10/2019",0.59,1,0
1398,"Architect Designed Industrial Oasis in Greenpoint",3830566,"Tom","Brooklyn","Greenpoint",40.72105,-73.93933,"Entire home/apt",1,2,"6/13/2019",2,1,316
1399,"Bay Ridge, Vista Place",208856601,"Mason","Brooklyn","Bay Ridge",40.63368,-74.01956,"Entire home/apt",3,8,"6/25/2019",0.83,1,125
1400,"Cozy Brooklyn Heights",223032162,"Dot","Brooklyn","Boerum Hill",40.68612,-73.98988,"Entire home/apt",2,9,"6/9/2019",1.13,2,3
1401,"Charming duplex downtown manhattan",42788707,"Filippo","Manhattan","Chinatown",40.71475,-73.99257,"Entire home/apt",180,15,"10/24/2016",0.35,1,365
1402,"Heart of the City",173373234,"Alexander M","Manhattan","Midtown",40.75864,-73.97035,"Entire home/apt",30,7,"8/30/2018",0.51,2,188
1403,"Boutique Apt. NYC  by  24 HR Metro",12718658,"Ray","Queens","Jackson Heights",40.75484,-73.8764,"Shared room",2,0,NA,NA,1,0
1404,"Rooftop Oasis in Brooklyn for Shoots & Gigs",8102595,"Stephanie","Brooklyn","Bedford-Stuyvesant",40.69017,-73.95757,"Entire home/apt",1,48,"10/11/2015",0.68,1,89
1405,"Open loft in the heart of Union Sq.",2275401,"Amir","Manhattan","Greenwich Village",40.73545,-73.9931,"Entire home/apt",6,23,"1/2/2017",0.29,1,0
1406,"Private shared space TV/WiFi included bus/train",226410935,"Ninosca","Manhattan","Washington Heights",40.83815,-73.94385,"Private room",3,23,"7/1/2019",3,1,129
1407,"Charming 1 BD near train 3 stops from Manhattan",22886163,"Lucy And Devin","Brooklyn","Sunset Park",40.65044,-74.00986,"Entire home/apt",3,13,"5/6/2019",0.38,1,11
1408,"Washington Heights room",132826462,"Erin","Manhattan","Washington Heights",40.84118,-73.93697,"Private room",2,1,"1/4/2018",0.05,1,0
1409,"Penthouse w/Terrace Williamsburg",9904977,"Matt","Brooklyn","Greenpoint",40.72309,-73.93767,"Entire home/apt",3,95,"6/26/2019",1.65,1,358
1410,"Beautiful studio by Central Park",1385157,"Brian","Manhattan","Upper West Side",40.78448,-73.97289,"Entire home/apt",30,36,"3/19/2019",0.39,5,286
1411,"Oasis III",201824419,"Angie","Brooklyn","Bedford-Stuyvesant",40.68784,-73.95145,"Private room",30,22,"6/5/2019",2.03,3,365
